Current residence in,Population 1 year and over,,Same house 1 year ago,,Same state of residence 1 year ago,,Different state of residence 1 year ago,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Different state of residence 1 year ago (continued),,,,,,,,,,Abroad 1 year ago,,,,,,,
,,,,,,,Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,,Total,,Puerto Rico,,U.S. Island Area,,Foreign Country,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
Alabama,"4,989,797","+/- 4,341","4,392,571","+/- 25,089","468,964","+/- 23,356","115,641","+/- 10,300",N/A,N/A,12,+/- 29,"1,338","+/- 1,009","1,271",+/- 943,"3,369","+/- 1,420","2,070","+/- 1,081",532,+/- 464,43,+/- 64,275,+/- 220,"22,507","+/- 4,614","15,873","+/- 3,792",Alabama,"1,349","+/- 1,262",406,+/- 510,"3,399","+/- 1,509","3,146","+/- 2,738",444,+/- 417,Alabama,606,+/- 579,"1,950",+/- 825,"3,594","+/- 1,977",225,+/- 296,468,+/- 481,915,+/- 803,"3,065","+/- 1,630",499,+/- 409,"4,186","+/- 1,636","2,380","+/- 1,320",0,+/- 216,64,+/- 150,"1,150",+/- 681,0,+/- 216,"1,965","+/- 1,206","1,061","+/- 1,524","2,085",+/- 866,"2,613","+/- 1,078",254,+/- 317,"1,702",+/- 716,851,+/- 573,416,+/- 496,"1,928","+/- 1,171",156,+/- 230,424,+/- 446,0,+/- 216,"7,418","+/- 1,787","10,616","+/- 3,786",436,+/- 437,21,+/- 35,"5,382","+/- 3,161","1,385","+/- 1,010",315,+/- 412,"1,477","+/- 1,139",0,+/- 216,"12,621","+/- 2,388",534,+/- 436,29,+/- 47,"12,058","+/- 2,400"
Alaska,"723,949","+/- 1,517","625,088","+/- 8,315","63,611","+/- 6,501","31,378","+/- 3,888",517,+/- 279,N/A,N/A,977,+/- 474,0,+/- 184,"3,808","+/- 1,838",922,+/- 630,0,+/- 184,339,+/- 565,0,+/- 184,"2,163","+/- 1,127","1,551",+/- 958,Alaska,"1,316","+/- 1,008",503,+/- 353,417,+/- 289,218,+/- 334,0,+/- 184,Alaska,452,+/- 441,"1,250","+/- 1,100",0,+/- 184,0,+/- 184,772,+/- 619,722,+/- 768,"1,024",+/- 771,179,+/- 264,0,+/- 184,0,+/- 184,867,+/- 851,9,+/- 20,535,+/- 526,276,+/- 409,15,+/- 29,"1,871","+/- 1,286",70,+/- 86,"1,396",+/- 706,0,+/- 184,12,+/- 22,929,+/- 983,337,+/- 245,345,+/- 395,0,+/- 184,141,+/- 199,221,+/- 369,449,+/- 382,"3,563","+/- 1,381",210,+/- 257,0,+/- 184,963,+/- 696,"1,840",+/- 774,0,+/- 184,110,+/- 101,89,+/- 114,"3,872","+/- 1,532",205,+/- 202,0,+/- 184,"3,667","+/- 1,527"
Arizona,"7,202,745","+/- 5,156","6,144,045","+/- 29,885","759,450","+/- 24,263","264,948","+/- 14,419","1,485","+/- 1,315","3,586","+/- 1,470",N/A,N/A,178,+/- 157,"69,432","+/- 6,220","10,035","+/- 2,010","2,705","+/- 1,100","1,554","+/- 1,861",498,+/- 351,"6,748","+/- 2,451","3,474","+/- 1,204",Arizona,"3,249","+/- 1,880","6,510","+/- 2,439","13,018","+/- 3,300","6,093","+/- 3,052","2,399",+/- 969,Arizona,"1,597",+/- 989,987,+/- 744,691,+/- 428,50,+/- 95,"1,463",+/- 752,"1,806",+/- 762,"3,642","+/- 1,301","10,891","+/- 2,745","1,890","+/- 1,080","2,730","+/- 1,038","4,728","+/- 2,604","2,288","+/- 1,370","5,437","+/- 1,604",75,+/- 124,"2,947","+/- 1,200","3,818","+/- 1,312","6,674","+/- 2,096","2,856","+/- 1,095","3,821","+/- 2,828","4,089","+/- 1,570",741,+/- 432,"7,318","+/- 1,854","4,989","+/- 2,060",242,+/- 290,"2,482","+/- 1,515","1,638",+/- 794,"2,145",+/- 742,"13,312","+/- 3,645","8,495","+/- 2,951",0,+/- 224,"1,835",+/- 955,"21,816","+/- 4,710",123,+/- 149,"4,788","+/- 1,745","1,580","+/- 1,242","34,302","+/- 5,615",857,+/- 764,57,+/- 96,"33,388","+/- 5,544"
Arkansas,"2,990,311","+/- 2,937","2,595,527","+/- 18,138","312,848","+/- 15,129","76,108","+/- 8,024",950,+/- 607,145,+/- 183,940,+/- 498,N/A,N/A,"5,600","+/- 1,762","4,353","+/- 1,940",31,+/- 58,68,+/- 126,181,+/- 327,"1,655",+/- 926,708,+/- 811,Arkansas,250,+/- 294,0,+/- 213,"2,548","+/- 1,225","2,041","+/- 2,249","1,033","+/- 1,156",Arkansas,"1,548",+/- 968,797,+/- 626,"2,557",+/- 963,144,+/- 291,130,+/- 120,490,+/- 456,"3,475","+/- 1,560","1,298",+/- 949,"1,535","+/- 1,046","6,754","+/- 2,436",0,+/- 213,43,+/- 77,500,+/- 548,609,+/- 738,0,+/- 213,570,+/- 476,"1,352","+/- 1,179",724,+/- 495,0,+/- 213,"1,364",+/- 698,"4,828","+/- 2,088",143,+/- 143,"1,188","+/- 1,357",185,+/- 315,387,+/- 459,134,+/- 223,"4,115","+/- 1,839","16,374","+/- 3,042",21,+/- 36,0,+/- 213,"1,030",+/- 821,"1,876","+/- 1,447",75,+/- 137,716,+/- 558,643,+/- 783,"5,828","+/- 1,634",0,+/- 213,0,+/- 213,"5,828","+/- 1,634"
California,"38,833,197","+/- 12,214","34,461,724","+/- 53,862","3,749,371","+/- 49,440","433,402","+/- 16,802","2,710","+/- 1,120","3,049","+/- 1,347","27,449","+/- 4,228","2,576","+/- 1,256",N/A,N/A,"20,353","+/- 3,410","5,189","+/- 1,872","1,012",+/- 638,"4,009","+/- 1,675","24,692","+/- 5,050","9,111","+/- 2,718",California,"7,544","+/- 2,047","2,799",+/- 910,"22,546","+/- 3,546","3,889","+/- 1,197","3,435","+/- 1,706",California,"3,582","+/- 1,507","2,010",+/- 936,"3,174","+/- 1,159",248,+/- 282,"5,860","+/- 1,628","15,274","+/- 2,728","9,419","+/- 2,437","6,053","+/- 1,919","1,821",+/- 877,"5,200","+/- 1,807","2,049",+/- 894,"2,596","+/- 1,643","14,826","+/- 2,729","1,034",+/- 580,"9,063","+/- 2,287","3,316","+/- 1,587","32,723","+/- 4,186","9,845","+/- 3,177","1,143",+/- 668,"9,529","+/- 2,621","4,505","+/- 2,079","20,219","+/- 3,165","12,156","+/- 2,811","1,446",+/- 718,"4,148","+/- 1,473","2,092","+/- 1,415","3,405","+/- 1,482","33,577","+/- 5,005","6,111","+/- 1,645",778,+/- 729,"16,881","+/- 4,703","40,456","+/- 5,203",707,+/- 611,"6,455","+/- 2,190","1,338",+/- 704,"188,700","+/- 12,292",968,+/- 597,"1,921",+/- 860,"185,811","+/- 12,087"
Colorado,"5,757,628","+/- 4,091","4,794,481","+/- 26,077","686,892","+/- 20,293","250,031","+/- 17,084","2,192","+/- 1,212","3,692","+/- 2,953","11,880","+/- 3,478",171,+/- 220,"33,648","+/- 5,763",N/A,N/A,"1,773",+/- 852,643,+/- 760,"2,406","+/- 1,344","18,661","+/- 4,632","6,419","+/- 2,998",Colorado,"2,679","+/- 1,440","1,128",+/- 667,"10,241","+/- 2,022","1,793",+/- 912,"1,136",+/- 636,Colorado,"3,862","+/- 1,487","1,940","+/- 1,101","4,088","+/- 1,851",310,+/- 507,"2,261","+/- 1,092","6,546","+/- 1,760","3,947","+/- 1,404","4,569","+/- 1,637","1,191","+/- 1,068","6,225","+/- 1,992",741,+/- 323,"2,350","+/- 1,016","3,440","+/- 1,235",480,+/- 345,"2,895","+/- 1,378","5,966","+/- 2,278","12,611","+/- 3,147","7,440","+/- 2,667",540,+/- 470,"5,514","+/- 2,123","3,624","+/- 1,550","5,642","+/- 1,697","3,669","+/- 1,915",16,+/- 33,"1,848","+/- 1,453","1,509",+/- 897,"3,235","+/- 1,290","29,754","+/- 4,431","5,767","+/- 1,703",0,+/- 211,"6,432","+/- 2,393","6,608","+/- 2,355",105,+/- 164,"3,031","+/- 1,183","3,413","+/- 1,986","26,224","+/- 4,163",491,+/- 430,291,+/- 297,"25,442","+/- 4,129"
Connecticut,"3,571,470","+/- 3,191","3,168,509","+/- 15,301","279,328","+/- 13,726","106,618","+/- 8,523",0,+/- 217,0,+/- 217,661,+/- 562,38,+/- 64,"6,645","+/- 2,514","1,181",+/- 672,N/A,N/A,488,+/- 423,393,+/- 293,"6,534","+/- 2,454","1,255",+/- 820,Connecticut,37,+/- 63,353,+/- 285,789,+/- 666,888,+/- 657,490,+/- 683,Connecticut,169,+/- 181,282,+/- 238,825,+/- 803,134,+/- 137,"1,419",+/- 707,"14,556","+/- 2,675",254,+/- 324,"1,361","+/- 1,546",0,+/- 217,318,+/- 356,0,+/- 217,66,+/- 113,246,+/- 413,"1,947",+/- 866,"6,352","+/- 1,918",237,+/- 319,"40,790","+/- 5,020","2,366","+/- 1,144",0,+/- 217,"1,181",+/- 813,47,+/- 79,96,+/- 124,"3,119","+/- 1,479","3,421","+/- 1,312","1,771","+/- 1,199",216,+/- 307,556,+/- 314,"2,073","+/- 1,201",451,+/- 454,393,+/- 256,"1,536","+/- 1,007",665,+/- 457,19,+/- 44,0,+/- 217,0,+/- 217,"17,015","+/- 3,252","1,664","+/- 1,063",165,+/- 192,"15,186","+/- 3,170"
Delaware,"994,669","+/- 1,764","889,174","+/- 6,362","58,180","+/- 5,692","42,551","+/- 4,342",0,+/- 210,0,+/- 210,708,+/- 560,0,+/- 210,116,+/- 186,239,+/- 215,786,+/- 600,N/A,N/A,604,+/- 366,"1,650",+/- 763,130,+/- 236,Delaware,70,+/- 119,0,+/- 210,212,+/- 275,201,+/- 214,0,+/- 210,Delaware,0,+/- 210,142,+/- 156,15,+/- 36,0,+/- 210,"7,767","+/- 1,780","1,037",+/- 604,451,+/- 587,90,+/- 147,6,+/- 16,424,+/- 391,0,+/- 210,6,+/- 14,96,+/- 160,29,+/- 48,"4,008","+/- 1,033",86,+/- 146,"5,958","+/- 2,104",341,+/- 282,0,+/- 210,148,+/- 247,21,+/- 31,0,+/- 210,"12,349","+/- 2,812",6,+/- 15,572,+/- 680,0,+/- 210,98,+/- 135,"1,300","+/- 1,322",0,+/- 210,0,+/- 210,"2,588","+/- 1,057",258,+/- 398,0,+/- 210,39,+/- 66,0,+/- 210,"4,764","+/- 1,768",319,+/- 372,0,+/- 210,"4,445","+/- 1,723"
District of Columbia ,"661,026","+/- 1,835","527,167","+/- 8,611","68,606","+/- 7,109","57,746","+/- 5,874",342,+/- 369,196,+/- 179,674,+/- 632,37,+/- 75,"3,945","+/- 1,308",261,+/- 258,"1,102",+/- 562,"3,560","+/- 1,052",N/A,N/A,"2,581","+/- 1,114","1,662",+/- 836,District of Columbia ,0,+/- 236,93,+/- 116,"1,736",+/- 928,159,+/- 263,145,+/- 167,District of Columbia ,503,+/- 668,202,+/- 205,324,+/- 341,"1,028",+/- 573,"7,754","+/- 1,798","2,389",+/- 870,607,+/- 418,726,+/- 504,29,+/- 67,87,+/- 108,65,+/- 78,0,+/- 236,431,+/- 412,266,+/- 329,"2,709","+/- 1,162",0,+/- 236,"3,658","+/- 1,245","1,330",+/- 807,0,+/- 236,"1,610","+/- 1,744",374,+/- 397,426,+/- 250,"2,237","+/- 1,095",366,+/- 348,196,+/- 272,0,+/- 236,663,+/- 363,"1,498","+/- 1,002",24,+/- 37,0,+/- 236,"9,003","+/- 2,140","1,817",+/- 849,568,+/- 437,307,+/- 304,56,+/- 93,"7,507","+/- 1,477",568,+/- 434,0,+/- 236,"6,939","+/- 1,433"
Florida,"21,590,684","+/- 8,058","18,571,567","+/- 47,265","2,206,566","+/- 41,666","674,740","+/- 25,002","15,159","+/- 4,087","2,938","+/- 2,747","6,607","+/- 1,882","4,804","+/- 2,217","37,464","+/- 6,348","18,468","+/- 3,586","15,801","+/- 4,348","4,732","+/- 2,390","1,917",+/- 742,N/A,N/A,"44,723","+/- 6,817",Florida,"4,179","+/- 2,124","1,309",+/- 844,"34,061","+/- 5,826","17,980","+/- 3,702","3,735","+/- 2,015",Florida,"3,099","+/- 1,301","8,385","+/- 1,964","5,914","+/- 2,059","1,483",+/- 699,"16,166","+/- 4,674","20,586","+/- 3,567","24,506","+/- 6,043","10,156","+/- 2,660","4,522","+/- 2,255","11,010","+/- 2,828","1,041","+/- 1,069","2,009","+/- 1,229","9,332","+/- 3,340","3,079","+/- 1,758","36,417","+/- 5,986","2,765","+/- 1,448","91,758","+/- 11,589","21,207","+/- 3,820","3,610","+/- 2,618","22,443","+/- 3,732","3,768","+/- 1,549","5,937","+/- 1,974","29,817","+/- 5,272","2,784","+/- 1,120","8,393","+/- 2,590","1,282","+/- 1,000","18,772","+/- 4,728","28,243","+/- 5,020","7,284","+/- 2,918","1,499",+/- 892,"29,153","+/- 4,865","9,611","+/- 3,273","3,165","+/- 1,716","9,909","+/- 2,686","1,758",+/- 958,"137,811","+/- 11,410","13,795","+/- 4,714","2,274","+/- 1,557","121,742","+/- 9,765"
Georgia,"10,688,429","+/- 6,334","9,243,299","+/- 38,980","1,107,180","+/- 34,938","302,512","+/- 17,711","22,228","+/- 8,440","2,178","+/- 2,222","3,194","+/- 1,576","1,236",+/- 830,"28,908","+/- 5,194","5,259","+/- 2,307",513,+/- 417,779,+/- 593,920,+/- 612,"49,163","+/- 7,541",N/A,N/A,Georgia,"2,321","+/- 1,381",208,+/- 341,"5,472","+/- 2,116","3,897","+/- 1,518","1,619","+/- 1,482",Georgia,"2,588","+/- 1,449","7,048","+/- 4,728","7,437","+/- 5,144",721,+/- 389,"5,135","+/- 2,135","3,151","+/- 1,364","4,923","+/- 1,903","2,038","+/- 1,453","4,992","+/- 1,911","2,867","+/- 2,435",394,+/- 580,144,+/- 240,"3,464","+/- 3,734","1,677","+/- 1,160","10,793","+/- 3,114","1,262",+/- 952,"14,038","+/- 3,864","14,739","+/- 3,592",85,+/- 142,"7,583","+/- 2,499","1,672",+/- 896,"3,351","+/- 1,461","5,915","+/- 2,278",129,+/- 164,"14,448","+/- 3,648",0,+/- 247,"14,689","+/- 3,471","21,413","+/- 5,836",656,+/- 465,192,+/- 209,"10,553","+/- 3,019","3,852","+/- 1,775","1,068","+/- 1,054","1,580",+/- 831,20,+/- 34,"35,438","+/- 5,067","1,805",+/- 708,742,+/- 579,"32,891","+/- 4,832"
Hawaii,"1,426,298","+/- 2,455","1,230,761","+/- 11,560","110,790","+/- 9,317","71,626","+/- 8,474","2,192","+/- 1,435",618,+/- 503,"1,517",+/- 858,0,+/- 200,"16,116","+/- 2,962","2,544","+/- 1,257",434,+/- 333,0,+/- 200,433,+/- 512,"2,527","+/- 1,106","3,835","+/- 1,585",Hawaii,N/A,N/A,"1,638","+/- 1,439",496,+/- 375,"1,251",+/- 783,0,+/- 200,Hawaii,462,+/- 412,0,+/- 200,616,+/- 614,144,+/- 220,"1,710","+/- 1,103",868,+/- 653,891,+/- 932,695,+/- 448,"1,048",+/- 940,605,+/- 436,681,"+/- 1,046",44,+/- 73,"1,057",+/- 735,130,+/- 190,"2,046","+/- 2,480",134,+/- 166,"2,696","+/- 1,457",541,+/- 445,11,+/- 27,268,+/- 292,151,+/- 225,"1,396",+/- 697,904,+/- 585,0,+/- 200,632,+/- 420,8,+/- 19,415,+/- 311,"6,849","+/- 2,319",118,+/- 171,0,+/- 200,"5,691","+/- 3,412","6,655","+/- 2,114",138,+/- 232,421,+/- 518,0,+/- 200,"13,121","+/- 3,194",0,+/- 200,"1,626","+/- 1,486","11,495","+/- 2,781"
Idaho,"1,879,719","+/- 2,400","1,601,568","+/- 15,804","176,458","+/- 11,576","96,388","+/- 9,806",350,+/- 358,"4,427","+/- 4,446","3,020","+/- 1,165",0,+/- 214,"27,193","+/- 6,571","6,211","+/- 3,839",305,+/- 457,0,+/- 214,0,+/- 214,"1,322",+/- 842,421,+/- 564,Idaho,827,+/- 918,N/A,N/A,374,+/- 391,0,+/- 214,428,+/- 532,Idaho,611,+/- 660,51,+/- 84,81,+/- 72,"1,610","+/- 2,440",467,+/- 442,0,+/- 214,548,+/- 463,706,+/- 466,20,+/- 34,642,+/- 424,"1,051",+/- 586,960,"+/- 1,141","1,432","+/- 1,280",551,+/- 644,10,+/- 23,857,+/- 576,90,+/- 140,371,+/- 292,782,"+/- 1,038",958,+/- 758,184,+/- 229,"5,707","+/- 2,103","1,436","+/- 1,207",0,+/- 214,285,+/- 385,417,+/- 422,"1,206",+/- 916,"3,089","+/- 1,925","4,470","+/- 1,296",0,+/- 214,539,+/- 395,"20,131","+/- 4,058",311,+/- 343,421,+/- 499,"1,516","+/- 1,117","5,305","+/- 1,504",115,+/- 183,140,+/- 185,"5,050","+/- 1,478"
Illinois,"12,544,435","+/- 5,532","11,095,785","+/- 30,825","1,200,753","+/- 28,559","195,177","+/- 9,929",614,+/- 398,618,+/- 654,"4,126","+/- 1,523",824,+/- 609,"20,488","+/- 3,123","6,060","+/- 2,129","1,778",+/- 906,66,+/- 65,"1,282",+/- 916,"10,647","+/- 3,095","4,791","+/- 1,658",Illinois,576,+/- 451,156,+/- 162,N/A,N/A,"18,681","+/- 4,652","9,580","+/- 2,064",Illinois,"1,184",+/- 618,"1,886",+/- 791,"1,790","+/- 1,058",345,+/- 348,"3,682","+/- 1,173","2,650",+/- 831,"9,866","+/- 1,854","2,712","+/- 1,005","2,520","+/- 1,309","13,596","+/- 2,423",431,+/- 328,499,+/- 402,"2,242","+/- 1,305",425,+/- 371,"3,016","+/- 1,109",160,+/- 202,"8,092","+/- 2,277","3,739","+/- 1,553",140,+/- 174,"4,772","+/- 1,337","1,148",+/- 851,"1,113",+/- 537,"3,838","+/- 1,267","1,268","+/- 1,580","1,432",+/- 799,560,+/- 441,"2,849","+/- 1,177","15,480","+/- 2,821","1,032","+/- 1,085",51,+/- 82,"3,858","+/- 1,239","4,163","+/- 1,873",582,+/- 769,"13,130","+/- 2,301",639,+/- 863,"52,720","+/- 6,604",879,+/- 724,233,+/- 380,"51,608","+/- 6,671"
Indiana,"6,729,771","+/- 4,323","5,835,956","+/- 27,793","714,384","+/- 23,581","156,417","+/- 11,930","1,906","+/- 1,155",145,+/- 170,"1,433",+/- 742,419,+/- 335,"5,705","+/- 1,553","1,723",+/- 688,721,+/- 405,66,+/- 75,171,+/- 208,"10,336","+/- 2,779","2,782","+/- 1,137",Indiana,622,+/- 553,328,+/- 244,"37,764","+/- 5,046",N/A,N/A,271,+/- 208,Indiana,"1,078",+/- 684,"13,369","+/- 4,279",258,+/- 228,55,+/- 86,"4,028","+/- 3,894","2,949","+/- 1,460","10,586","+/- 2,476","2,362","+/- 1,142",621,+/- 485,"3,180","+/- 1,243",184,+/- 297,738,+/- 405,"1,326",+/- 945,102,+/- 180,880,+/- 396,913,+/- 631,"4,290","+/- 1,549","2,832","+/- 2,025",153,+/- 169,"12,606","+/- 2,522",790,+/- 816,"3,271","+/- 2,356","3,388","+/- 1,563",175,+/- 198,"1,276","+/- 1,055",54,+/- 78,"2,684","+/- 1,315","6,591","+/- 2,545",335,+/- 348,319,+/- 535,"3,575","+/- 1,356","1,770",+/- 869,134,+/- 217,"4,411","+/- 2,262",742,+/- 865,"23,014","+/- 4,886","1,372","+/- 1,768",0,+/- 208,"21,642","+/- 4,590"
